hts10,country,s232_annex,months,realized_vw,T_full_vw,T_us_vw,T_exit_vw,share_full,share_us_origin,share_exit,share_unexplained,share_ambiguous,z0_raw_vw,u_raw_vw,any_partial_month,con_val
8415820120,2010,annex_1b,2,0.2392263960076857,0.04102883156620676,0.10331850843550203,0.0033185084355020177,0,0,0,1,0,-5.255790669162981,NA,TRUE,73848895
7321116000,5490,annex_1b,2,0.21966233439344207,0.25,0.10000000000000002,0.10000000000000002,0.4863074133913842,0,0,0.5136925866086158,0,0.2022511040437196,0.2022511040437196,TRUE,73498750
7224900055,3510,annex_1a,2,0.5000000343061708,0.5,0.10000000000000002,0.10000000000000002,1,0,0,0,0,-8.576542697172571e-8,-8.576542697172571e-8,TRUE,72873187
7322900015,2010,annex_1b,2,0.2164403658287836,0.25,0.10000000000000002,0,1,0,0,0,0,0.1342385366848656,0.2237308944747761,TRUE,72259049
8431200000,5700,annex_1b,2,0.25536411964657196,0.4125,0.26249999999999996,0.26250000000000007,0,0.5656530699774216,0.4343469300225784,0,1,1.0475725356895205,1.04757253568952,TRUE,71551536
8429521010,5800,annex_1b,2,0.2481287609601566,0.25,0.10000000000000002,0.10000000000000002,1,0,0,0,0,0.012474926932289371,0.012474926932289371,TRUE,71055326
8433110010,5520,annex_1b,2,0.2160443629466931,0.25,0.10000000000000002,0.10000000000000002,0.49665342562403353,0,0,0.5033465743759665,0,0.2263709136887127,0.2263709136887127,TRUE,70928201
8471300100,5600,annex_1b,2,0.0017717935855948862,0.25,0.10000000000000002,0,0,0,1,0,0,0.9929128256576204,1.6548547094293677,TRUE,70735102
8703105060,2010,annex_1b,2,0.23538514140904473,0.028055196505162115,0.10255047240956021,0.012752362047800963,0,0,0,1,0,-13.548466820416415,NA,TRUE,70651881
8428700000,5880,annex_3,2,0.1393975293553074,0.14999999999999997,0.1,0.1,1,0,0,0,0.45581694842278236,0.21204941289385254,0.21204941289385254,TRUE,70587406
8429110010,5880,annex_1b,2,0.2301670206172493,0.25,0.1,0.1,1,0,0,0,0,0.13221986255167126,0.13221986255167126,TRUE,69983875
3004909213,4759,annex_1b,2,0,0.25,0.10000000000000002,0,0,0,1,0,0,1,1.666666666666667,TRUE,69956550
8433110050,2010,annex_1b,2,0.11733517534797644,0.25,0.1,3.088371008019841e-4,0,1,0,0,0,0.5313156585584938,0.8844321643468238,TRUE,68197793
8501314000,5880,annex_1b,2,0.10288835156539514,0.28831131606832383,0.13831131606832384,0.13831131606832384,0,1,0,0,1,1.2361530966861916,1.2361530966861916,TRUE,67637715
8427204000,5800,annex_1b,2,0.24049669923897626,0.25,0.1,0.1,1,0,0,0,0,0.06335533840682489,0.06335533840682489,TRUE,66766118
8807300030,6021,annex_1b,2,0.0012705178064165844,0.25,0.1,0,0,0,1,0,0,0.9949179287743337,1.658196547957223,TRUE,66467388
7606123091,4419,annex_1a,2,0.5300001487565468,0.5,0.10000000000000002,0.10000000000000002,1,0,0,0,0,-0.07500037189136684,-0.07500037189136684,TRUE,66350021
3004909236,4190,annex_1b,2,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,TRUE,65364927
8413919096,5700,annex_1b,2,0.37766000945232736,0.4125,0.26249999999999996,0.16250000000000003,0.4737963050907239,0,0,0.5262036949092761,0,0.1393599621906903,0.23226660365115046,TRUE,64834826
7606123091,3510,annex_1a,2,0.5305691238035672,0.5257999678183178,0.12579996781831784,0.12579996781831787,1,0,0,0,0,-0.011922889963123464,-0.011922889963123462,TRUE,64044132
8431200000,2010,annex_1b,2,0.20993378747804692,0.25,0.1,0.022177819670915935,1,0,0,0,0,0.17586616221510268,0.26710808347968723,TRUE,63534961
8716390090,2010,annex_1b,2,0.10821189726459493,0.25,0.1,6.863279637168485e-4,0,1,0,0,0,0.5687137074246387,0.9452540182360339,TRUE,62230893
8467290040,2010,annex_1b,2,0.044040882002605745,0.25,0.10000000000000002,0.04977119767291026,0,0,1,0,0,1.02861883806778,1.3730607866492952,TRUE,61216962
3004909267,5880,annex_1b,1,0,0.25,0.1,0,0,0,1,0,0,1,1.6666666666666667,FALSE,61060800
8431499041,5700,annex_1b,2,0.5059769906087486,0.5,0.3499999999999999,0.3499999999999999,1,0,0,0,0,-0.03984660405832345,-0.03984660405832345,TRUE,60714166
8457100075,4280,annex_3,2,0.019881327905287297,0.15,0.1,0.14118089311750764,0,0,0,1,0,14.754177926227817,2.602373441894255,TRUE,60593689
8504230080,4330,annex_3,2,0.09775374179285012,0.15,0.10000000000000002,0.11586332309921359,0,0.6984640074187386,0.30153599258126146,0,1,1.530502173922684,1.044925164142998,TRUE,60465266
7323930045,5700,annex_1b,2,0.25695247039294467,0.27,0.12000000000000002,0.12,1,0,0,0,0,0.08698353071370249,0.0869835307137025,TRUE,60454087
8430390080,4280,annex_1b,2,0.029012703208413895,0.25,0.1,0.1,0,0,0,1,0,1.4732486452772406,1.4732486452772406,TRUE,60297208
3004909260,5330,annex_1b,2,3.443105759829049e-5,0.25,0.10000000000000002,0,0,0,1,0,0,0.9998622757696068,1.666437126282678,TRUE,60178227
8708998180,5800,annex_1b,2,0.11674957190573003,0.2505522382653766,0.10055223826537661,0.10055223826537657,0,1,0,0,1,0.8920177757309768,0.8920177757309771,TRUE,59649829
8431499094,5700,annex_1b,2,0.4597254831257312,0.5,0.3499999999999999,0.3499999999999999,0.4429002510141865,0,0,0.5570997489858135,0,0.26849677916179193,0.26849677916179193,TRUE,59547232
