hts10,cty_code,usmca_share
0703104070,2010,1
0703104075,1220,1
0703104075,2010,0.9999226650708174
0703200005,2010,1
0703200015,1220,0.920259768038787
0703200015,2010,1
0703200020,1220,1
0703200020,2010,0.9291600106257043
0703200090,1220,1
0703200090,2010,1
0703900020,1220,1
0703900020,2010,0.9999209804612084
0703900040,1220,1
0703900040,2010,1
0704102000,1220,1
0704102000,2010,1
0704104000,1220,1
0704104000,2010,0.9999359470302275
0704106000,1220,1
0704106000,2010,1
0704200000,1220,1
0704200000,2010,1
0704902000,1220,0.9987628014082232
0704902000,2010,0.9998682661373435
0704904015,1220,1
0704904015,2010,1
0704904022,1220,1
0704904022,2010,0.9998535243756177
0704904024,1220,1
0704904024,2010,0.9989549705014797
0704904025,1220,1
0704904025,2010,1
0704904028,1220,1
0704904028,2010,1
0704904035,1220,1
0704904035,2010,0.9998901459206622
0704904045,1220,0.9998215490270356
0704904045,2010,1
0704904055,1220,1
0704904055,2010,1
0705112000,1220,0.9992149602139565
0705112000,2010,0.9985285868220994
0705114000,1220,1
0705114000,2010,0.999423827863148
0705192020,1220,0.9991219353284496
0705192020,2010,0.999835210735698
0705192040,1220,1
0705192040,2010,1
0705192060,1220,1
0705192060,2010,1
0705192080,1220,0.999773700125622
0705192080,2010,1
0705194020,1220,1
0705194020,2010,0.9997825395907921
0705194040,1220,1
0705194040,2010,1
0705194060,1220,1
0705194060,2010,1
0705194080,1220,1
0705194080,2010,0.9998242191593952
0705210000,1220,1
0705290000,1220,1
0705290000,2010,1
0706100500,1220,1
0706100500,2010,1
0706101000,1220,1
0706101000,2010,1
0706102000,1220,0.999329136655309
0706102000,2010,0.9990133114238561
0706104000,1220,0
0706104000,2010,0
0706902000,1220,0.989974143359827
0706902000,2010,0.9998690719667631
0706903000,1220,1
0706903000,2010,0.9997940031463642
0706904020,1220,1
0706904040,1220,1
0706904040,2010,1
0707002015,1220,1
0707002015,2010,1
0707002037,1220,1
0707002037,2010,1
0707002040,1220,0.9980475545932747
0707002040,2010,1
0707002045,1220,0.9972628765679539
0707002045,2010,0.9978249810444539
0707002050,1220,1
0707002050,2010,1
0707002060,1220,1
0707002060,2010,0.9987164001136077
0707002070,1220,1
0707002070,2010,1
0707002080,1220,1
0707002080,2010,1
0707002090,1220,1
0707002090,2010,1
0707004015,1220,1
0707004015,2010,1
0707004037,1220,1
0707004037,2010,1
0707004040,1220,1
0707004040,2010,1
0707004045,1220,1
0707004045,2010,1
0707004050,1220,1
0707004050,2010,1
0707004060,1220,1
0707004060,2010,1
0707004070,1220,1
0707004070,2010,1
0707004080,1220,1
0707004080,2010,0.9959277721752924
0707004090,1220,1
0707004090,2010,1
0707005005,1220,1
0707005005,2010,1
0707005022,1220,1
0707005022,2010,1
0707005024,1220,0.9980771737316473
0707005024,2010,1
0707005026,1220,1
0707005026,2010,1
0707005030,1220,1
0707005030,2010,1
0707005050,1220,1
0707005050,2010,1
0707005060,1220,1
0707005060,2010,0.999882138931577
0707005070,1220,1
0707005070,2010,1
0707005085,1220,1
0707005085,2010,0.9997704252289709
0707006005,1220,1
0707006005,2010,1
0707006013,1220,1
0707006013,2010,1
0707006017,1220,1
0707006017,2010,0.9977294863142986
0707006021,1220,1
0707006021,2010,1
0707006024,1220,1
0707006024,2010,1
0707006026,1220,1
0707006026,2010,1
0707006028,1220,1
0707006028,2010,1
0707006030,1220,1
0707006030,2010,1
0707006060,1220,1
0707006060,2010,1
0707006075,1220,1
0707006075,2010,0.9989118874996094
0708102020,1220,1
0708102020,2010,1
0708102040,2010,1
0708102060,1220,1
0708102060,2010,1
0708104020,1220,1
0708104020,2010,0.9949420848622857
0708104040,2010,1
0708104060,1220,1
0708104060,2010,0.9992304998757329
0708202005,1220,0
0708202005,2010,0
0708209005,2010,0.9846192420285587
0708209010,1220,0.9984514852380636
0708209010,2010,0.9999699311389948
0708900500,1220,0.9824495468792104
0708900500,2010,1
0708901500,1220,0.9826297629576114
0708901500,2010,1
0708904000,2010,1
0709209010,2010,1
0709209040,1220,1
0709209040,2010,0.9996501941122508
0709209070,1220,1
0709209070,2010,0.9999082326496441
0709302000,1220,0.9903051866533574
0709302000,2010,1
0709304000,1220,1
0709304000,2010,0.9949699869488697
0709402000,1220,1
0709402000,2010,1
0709404020,2010,1
0709404040,1220,1
0709404040,2010,1
0709406020,2010,1
0709406040,1220,0.9971889736141986
0709406040,2010,1
0709510100,1220,1
0709510100,2010,1
0709520500,1220,1
0709530000,1220,1
0709540000,1220,1
0709540000,2010,1
0709550000,1220,1
0709599100,1220,1
0709599100,2010,1
0709602010,1220,1
0709602010,2010,1
0709602020,1220,1
0709602020,2010,0.9999813604787595
0709602030,1220,1
0709602030,2010,1
0709602040,2010,1
0709602050,1220,1
0709602050,2010,1
0709602060,1220,1
0709602060,2010,1
0709602070,1220,1
0709602070,2010,1
0709604005,1220,1
0709604005,2010,1
0709604007,1220,1
0709604007,2010,1
0709604009,1220,1
0709604009,2010,1
0709604011,1220,1
0709604011,2010,1
0709604013,1220,1
0709604013,2010,1
0709604017,1220,1
0709604017,2010,1
0709604022,1220,0.9998855108158946
0709604022,2010,0.9999358697763588
0709604027,1220,1
0709604027,2010,0.9997828519882899
0709604032,1220,1
0709604032,2010,1
0709604037,1220,1
0709604037,2010,0.999909829144982
0709604055,1220,1
0709604055,2010,0.9996990223529941
0709604060,1220,1
0709604060,2010,1
0709604063,1220,1
0709604063,2010,1
0709604066,2010,1
0709604069,2010,1
0709604072,2010,1
0709604074,1220,1
0709604074,2010,1
0709604078,1220,1
0709604078,2010,0.9999795153618942
0709604081,1220,1
0709604081,2010,1
0709604084,1220,1
0709604084,2010,1
0709604087,1220,1
0709604087,2010,1
0709604091,1220,1
0709604091,2010,1
0709604095,1220,1
0709604095,2010,1
0709700000,1220,1
0709700000,2010,0.9997155264592775
0709910000,1220,1
0709910000,2010,1
0709920000,2010,1
0709931000,1220,0.9725362503461173
0709931000,2010,0.9945554942590368
0709932020,1220,1
0709932020,2010,1
0709932022,1220,1
0709932022,2010,1
