"ch99_code","rate","authority","country_type","countries","general_raw","other_raw","description"
"9903.81.14",,"section_232","all","","Free","","Nonenumerated railroad goods (provided for in subheading 7302.40.00, 7302.90.10 or 7302.90.90)"
"9903.81.15",,"section_232","all","","Free","","Rails other than those known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1010, 7302.10.1035, 7302.10.1065 or 7302.10.1075)"
"9903.81.16",,"section_232","all","","Free","","Rails known as â€œstandard railsâ€ (provided for in subheading 7302.10.10 (except for statistical reporting number 7302.10.1015, 7302.10.1025, 7302.10.1045 or 7302.10.1055) or 7302.10.50)"
"9903.81.17",,"section_232","all","","Free","","Products of tool steel (provided for in subheading 7224.10.00 (except for statistical reporting number 7224.10.0005 or 7224.10.0075), 7224.90.00 (except for statistical reporting number 7224.90.0005, "
"9903.81.18",,"section_232","all","","Free","","Blooms, billets and slabs, semi-finished (provided for in subheading 7207.11.00, 7207.12.00, 7207.19.00, 7207.20.00 or 7224.90.00 (except for statistical reporting number 7224.90.0015, 7224.90.0025 or"
"9903.81.19",,"section_232","all","","Free","","Ingots (provided for in subheading 7206.10.00, 7206.90.00 or 7224.10.00 (except for statistical reporting number 7224.10.0045)"
"9903.81.25",,"section_232","all","","Free","","Hot-rolled sheet (provided for in subheading 7208.10.60, 7208.26.00, 7208.27.00, 7208.38.00, 7208.39.00, 7208.40.60, 7208.53.00, 7208.54.00, 7208.90.00, 7225.30.70 or 7225.40.70)"
"9903.81.26",,"section_232","all","","Free","","Hot-rolled strip (provided for in subheading 7211.19.15, 7211.19.20, 7211.19.30, 7211.19.45, 7211.19.60, 7211.19.75, 7226.91.70 or 7226.91.80)"
"9903.81.27",,"section_232","all","","Free","","Hot-rolled plate, in coils (provided for in subheading 7208.10.15, 7208.10.30, 7208.25.30, 7208.25.60, 7208.36.00, 7208.37.00, 7211.14.00 (except for statistical reporting number 7211.14.0030 or 7211."
"9903.81.28",,"section_232","all","","Free","","Cold-rolled sheet, provided for in subheading 7209.15.00, 7209.16.00, 7209.17.00, 7209.18.15, 7209.18.60, 7209.25.00, 7209.26.00, 7209.27.00, 7209.28.00, 7209.90.00, 7210.70.30, 7225.50.70, 7225.50.80"
"9903.81.29",,"section_232","all","","Free","","Cold-rolled strip (provided for in subheading 7211.23.15, 7211.23.20, 7211.23.30, 7211.23.45, 7211.23.60, 7211.29.20, 7211.29.45, 7211.29.60, 7211.90.00, 7212.40.10, 7212.40.50, 7226.92.50, 7226.92.70"
"9903.81.30",,"section_232","all","","Free","","Cold-rolled black plate (provided for in subheading 7209.18.25)"
"9903.81.31",,"section_232","all","","Free","","Plate in cut lengths (provided for in subheading 7208.40.30, 7208.51.00, 7208.52.00, 7210.90.10, 7211.13.00, 7211.14.00 (except for statistical reporting number 7211.14.0090), 7225.40.30, 7225.50.60 o"
"9903.81.32",,"section_232","all","","Free","","Flat-rolled products, hot-dipped (provided for in subheading 7210.41.00, 7210.49.00, 7210.70.60 (except for statistical reporting number 7210.70.6030 or 7210.70.6090), 7212.30.10, 7212.30.30, 7212.30."
"9903.81.33",,"section_232","all","","Free","","Flat-rolled products, coated (provided for in subheading 7210.20.00, 7210.61.00, 7210.69.00, 7210.70.60 (except for statistical reporting number 7210.70.6030 or 7210.70.6060), 7210.90.60, 7210.90.90, "
"9903.81.34",,"section_232","all","","Free","","Tin-free steel (provided for in subheading 7210.50.00)"
